RunId,iteration,Step,estrategia,avances,rescatistas,rng,Rescatados,Perdidas,Danio,Fuegos,Paredes,Puertas,Rescatando,Pasos,Avances,Estado,gano,motivo
319,106,7.0,mejorada,1,3,4144628313312078530,2,1,24,12,17,7,2,7,1,perdido,0,colapso
338,112,7.0,mejorada,1,4,2821951771681615127,0,1,27,19,20,7,0,7,1,perdido,0,colapso
564,188,8.0,mejorada,1,2,6887918418730252866,2,1,25,12,17,8,0,8,1,perdido,0,colapso
13,4,8.0,mejorada,1,3,868632717012091125,4,4,20,11,14,7,3,8,1,perdido,0,victimas
14,4,8.0,mejorada,1,4,868632717012091125,4,3,25,24,18,7,0,8,1,perdido,0,colapso
16,5,8.0,mejorada,1,3,8998527916616952261,2,2,24,9,16,7,2,8,1,perdido,0,colapso
569,189,8.0,mejorada,1,4,2420770983341428564,1,4,14,14,12,6,0,8,1,perdido,0,victimas
896,298,8.0,mejorada,1,4,7189411352906604064,0,3,24,14,16,7,0,8,1,perdido,0,colapso
897,299,8.0,mejorada,1,2,5925862281964184321,1,4,14,8,10,7,2,8,1,perdido,0,victimas
554,184,8.0,mejorada,1,4,7120557878436733737,3,4,17,10,11,7,2,8,1,perdido,0,victimas
571,190,8.0,mejorada,1,3,8640576216391083761,2,1,24,13,18,8,1,8,1,perdido,0,colapso
341,113,8.0,mejorada,1,4,5342357575377760769,2,4,21,25,15,7,0,8,1,perdido,0,victimas
688,229,8.0,mejorada,1,3,976731152530218924,0,2,24,16,15,6,1,8,1,perdido,0,colapso
707,235,8.0,mejorada,1,4,7418919976603579272,2,1,24,22,18,8,1,8,1,perdido,0,colapso
334,111,8.0,mejorada,1,3,1866472600136169721,1,4,19,12,13,6,1,8,1,perdido,0,victimas
370,123,8.0,mejorada,1,3,3835146365897628933,3,4,13,14,8,6,0,8,1,perdido,0,victimas
331,110,8.0,mejorada,1,3,4203794286712746030,2,4,8,16,7,5,1,8,1,perdido,0,victimas
35,11,8.0,mejorada,1,4,8547898282882222422,2,2,25,15,20,8,0,8,1,perdido,0,colapso
711,237,8.0,mejorada,1,2,7238165253378328548,1,4,19,12,12,7,2,8,1,perdido,0,victimas
326,108,8.0,mejorada,1,4,889049704932113065,2,1,25,26,18,8,0,8,1,perdido,0,colapso
544,181,8.0,mejorada,1,3,8240590753011135886,1,4,10,18,9,8,2,8,1,perdido,0,victimas
683,227,8.0,mejorada,1,4,5120798098513749764,3,2,24,20,18,8,1,8,1,perdido,0,colapso
320,106,8.0,mejorada,1,4,4144628313312078530,0,0,25,10,16,7,2,8,1,perdido,0,colapso
536,178,8.0,mejorada,1,4,8224271163474684205,2,4,12,13,7,7,3,8,1,perdido,0,victimas
871,290,8.0,mejorada,1,3,7687298318890824016,0,2,24,16,13,7,0,8,1,perdido,0,colapso
539,179,8.0,mejorada,1,4,6904690273224461891,2,6,16,12,11,7,4,8,1,perdido,0,victimas
715,238,8.0,mejorada,1,3,164515294560768872,4,4,18,15,11,7,2,8,1,perdido,0,victimas
312,104,8.0,mejorada,1,2,7182709311313489600,1,4,16,9,12,7,1,8,1,perdido,0,victimas
380,126,8.0,mejorada,1,4,3042432681873228590,1,3,25,17,17,8,0,8,1,perdido,0,colapso
722,240,8.0,mejorada,1,4,7650128693076619938,0,3,24,13,17,7,0,8,1,perdido,0,colapso
308,102,8.0,mejorada,1,4,2452217567965390843,2,1,24,18,15,6,1,8,1,perdido,0,colapso
677,225,8.0,mejorada,1,4,8529852206364137934,1,1,25,17,18,7,0,8,1,perdido,0,colapso
68,22,8.0,mejorada,1,4,8953109014434126403,3,1,25,11,16,8,1,8,1,perdido,0,colapso
389,129,8.0,mejorada,1,4,5420064514633398218,1,0,24,17,18,7,0,8,1,perdido,0,colapso
525,175,8.0,mejorada,1,2,414227351061035947,0,2,27,6,17,8,2,8,1,perdido,0,colapso
527,175,8.0,mejorada,1,4,414227351061035947,3,4,11,9,8,8,1,8,1,perdido,0,victimas
593,197,8.0,mejorada,1,4,8066411071954915232,0,2,25,19,17,7,0,8,1,perdido,0,colapso
734,244,8.0,mejorada,1,4,5589509374536079274,1,4,21,17,16,8,1,8,1,perdido,0,victimas
395,131,8.0,mejorada,1,4,8532727030568331756,1,2,25,15,18,7,1,8,1,perdido,0,colapso
92,30,8.0,mejorada,1,4,6869218442907837545,3,4,21,10,12,7,1,8,1,perdido,0,victimas
841,280,8.0,mejorada,1,3,400986671269313044,1,4,14,11,12,6,1,8,1,perdido,0,victimas
96,32,8.0,mejorada,1,2,3005208497149623952,2,1,24,9,19,8,2,8,1,perdido,0,colapso
